 0--1         0->1
 9--53         9->17->25->33->41->49->50->51->52->53
 9--54         9->17->25->33->41->49->50->51->52->53->54
 9--55         9->17->25->33->41->49->50->51->52->53->54->55
 9--56         9->17->25->33->41->49->57->56
 9--57         9->17->25->33->41->49->57
 9--58         9->17->25->33->41->49->57->58
 9--59         9->17->25->33->41->49->57->58->59
 9--60         9->17->25->33->41->49->57->58->59->60
 9--61         9->17->25->33->41->49->57->58->59->60->61
 9--62         9->17->25->33->41->49->57->58->59->60->61->62
 9--63         9->17->25->33->41->49->57->58->59->60->61->62->63
 10--0         10->2->1->0
 10--1         10->2->1
 10--2         10->2
 10--4         10->11->12->4
 10--5         10->11->12->4->5
 10--6         10->11->12->4->5->6
 10--7         10->11->12->4->5->6->7
 10--8         10->9->8
 10--9         10->9
 10--11         10->11
 10--12         10->11->12
 10--13         10->11->12->13
 10--14         10->11->12->13->14
 10--15         10->11->12->13->14->15
 10--16         10->9->17->16
 10--17         10->9->17
 10--19         10->11->19
 10--20         10->11->19->20
 10--21         10->11->19->20->21
 10--22         10->11->19->20->21->22
 10--23         10->11->19->20->21->22->23
 10--24         10->9->17->25->24
 10--25         10->9->17->25
 10--26         10->11->19->27->26
 10--27         10->11->19->27
 10--28         10->11->19->27->28
 10--29         10->11->19->27->28->29
 10--30         10->11->19->27->28->29->30
 10--31         10->11->19->27->28->29->30->31
 10--32         10->9->17->25->33->32
 10--33         10->9->17->25->33
 10--34         10->11->19->27->26->34
 10--36         10->11->19->27->28->36
 10--37         10->11->19->27->28->36->37
 10--38         10->11->19->27->28->36->37->38
 10--39         10->11->19->27->28->36->37->38->39
 10--40         10->9->17->25->33->41->40
 10--41         10->9->17->25->33->41
 10--42         10->11->19->27->26->34->42
 10--43         10->11->19->27->28->36->44->43
 10--44         10->11->19->27->28->36->44
 10--45         10->11->19->27->28->36->44->45
 10--46         10->11->19->27->28->36->44->45->46
 10--47         10->11->19->27->28->36->44->45->46->47
 10--48         10->9->17->25->33->41->49->48
 10--49         10->9->17->25->33->41->49
 10--50         10->11->19->27->26->34->42->50
 10--51         10->11->19->27->28->36->44->52->51
 10--52         10->11->19->27->28->36->44->52
 10--53         10->11->19->27->28->36->44->52->53
 10--54         10->11->19->27->28->36->44->52->53->54
 10--55         10->11->19->27->28->36->44->52->53->54->55
 10--56         10->9->17->25->33->41->49->57->56
 10--57         10->9->17->25->33->41->49->57
 10--58         10->11->19->27->26->34->42->50->58
 10--59         10->11->19->27->28->36->44->52->60->59
 10--60         10->11->19->27->28->36->44->52->60
 10--61         10->11->19->27->28->36->44->52->60->61
 10--62         10->11->19->27->28->36->44->52->60->61->62
 10--63         10->11->19->27->28->36->44->52->60->61->62->63
 11--0         11->10->2->1->0
 11--1         11->10->2->1
 11--2         11->10->2
 11--4         11->12->4
 11--5         11->12->4->5
 11--6         11->12->4->5->6
 11--7         11->12->4->5->6->7
 11--8         11->10->9->8
 11--9         11->10->9
 11--10         11->10
 11--12         11->12
 11--13         11->12->13
 11--14         11->12->13->14
 11--15         11->12->13->14->15
 11--16         11->10->9->17->16
 11--17         11->10->9->17
 11--19         11->19
 11--20         11->19->20
 11--21         11->19->20->21
 11--22         11->19->20->21->22
 11--23         11->19->20->21->22->23
 11--24         11->19->27->26->25->24
 11--25         11->19->27->26->25
 11--26         11->19->27->26
 11--27         11->19->27
 11--28         11->19->27->28
 11--29         11->19->27->28->29
 11--30         11->19->27->28->29->30
 11--31         11->19->27->28->29->30->31
 11--32         11->19->27->26->34->33->32
 11--33         11->19->27->26->34->33
 11--34         11->19->27->26->34
 11--36         11->19->27->28->36
 11--37         11->19->27->28->36->37
 11--38         11->19->27->28->36->37->38
 11--39         11->19->27->28->36->37->38->39
 11--40         11->19->27->26->34->42->41->40
 11--41         11->19->27->26->34->42->41
 11--42         11->19->27->26->34->42
 11--43         11->19->27->28->36->44->43
 11--44         11->19->27->28->36->44
 11--45         11->19->27->28->36->44->45
 11--46         11->19->27->28->36->44->45->46
 11--47         11->19->27->28->36->44->45->46->47
 11--48         11->19->27->26->34->42->50->49->48
 11--49         11->19->27->26->34->42->50->49
 11--50         11->19->27->26->34->42->50
 11--51         11->19->27->28->36->44->52->51
 11--52         11->19->27->28->36->44->52
 11--53         11->19->27->28->36->44->52->53
 11--54         11->19->27->28->36->44->52->53->54
 11--55         11->19->27->28->36->44->52->53->54->55
 11--56         11->19->27->26->34->42->50->58->57->56
 11--57         11->19->27->26->34->42->50->58->57
 11--58         11->19->27->26->34->42->50->58
 11--59         11->19->27->28->36->44->52->60->59
 11--60         11->19->27->28->36->44->52->60
 11--61         11->19->27->28->36->44->52->60->61
 11--62         11->19->27->28->36->44->52->60->61->62
 11--63         11->19->27->28->36->44->52->60->61->62->63
 12--0         12->11->10->2->1->0
 12--1         12->11->10->2->1
 12--2         12->11->10->2
 12--4         12->4
 12--5         12->4->5
 12--6         12->4->5->6
 12--7         12->4->5->6->7
 12--8         12->11->10->9->8
 12--9         12->11->10->9
 12--10         12->11->10
 12--11         12->11
 12--13         12->13
 12--14         12->13->14
 12--15         12->13->14->15
 12--16         12->11->10->9->17->16
 12--17         12->11->10->9->17
 12--19         12->20->19
 12--20         12->20
 12--21         12->20->21
 12--22         12->20->21->22
 12--23         12->20->21->22->23
 12--24         12->20->28->27->26->25->24
 12--25         12->20->28->27->26->25
 12--26         12->20->28->27->26
 12--27         12->20->28->27
 12--28         12->20->28
 12--29         12->20->28->29
 12--30         12->20->28->29->30
 12--31         12->20->28->29->30->31
 12--32         12->20->28->27->26->34->33->32
 12--33         12->20->28->27->26->34->33
 12--34         12->20->28->27->26->34
 12--36         12->20->28->36
 12--37         12->20->28->36->37
 12--38         12->20->28->36->37->38
 12--39         12->20->28->36->37->38->39
 12--40         12->20->28->36->44->43->42->41->40
 12--41         12->20->28->36->44->43->42->41
 12--42         12->20->28->36->44->43->42
 12--43         12->20->28->36->44->43
 12--44         12->20->28->36->44
 12--45         12->20->28->36->44->45
 12--46         12->20->28->36->44->45->46
 12--47         12->20->28->36->44->45->46->47
 12--48         12->20->28->36->44->52->51->50->49->48
 12--49         12->20->28->36->44->52->51->50->49
 12--50         12->20->28->36->44->52->51->50
 12--51         12->20->28->36->44->52->51
 12--52         12->20->28->36->44->52
 12--53         12->20->28->36->44->52->53
 12--54         12->20->28->36->44->52->53->54
 12--55         12->20->28->36->44->52->53->54->55
 12--56         12->20->28->36->44->52->60->59->58->57->56
 12--57         12->20->28->36->44->52->60->59->58->57
 12--58         12->20->28->36->44->52->60->59->58
 12--59         12->20->28->36->44->52->60->59
 12--60         12->20->28->36->44->52->60
 12--61         12->20->28->36->44->52->60->61
 12--62         12->20->28->36->44->52->60->61->62
 12--63         12->20->28->36->44->52->60->61->62->63
 13--0         13->12->11->10->2->1->0
 13--1         13->12->11->10->2->1
 13--2         13->12->11->10->2
 13--4         13->5->4
 13--5         13->5
 13--6         13->5->6
 13--7         13->5->6->7
